stock_id;symbol;exchange;currency
VUSA_Euronext_EUR;VUSA;Euronext;EUR
UNIR_MTA_EUR;UNIR;MTA;EUR
SXRV_XETR_EUR;SXRV;XETR;EUR
RIO_LSE_GBp;RIO;LSE;GBp
PRY_MTA_EUR;PRY;MTA;EUR
MCD_NYSE_USD;MCD;NYSE;USD
JPM_NYSE_USD;JPM;NYSE;USD
IWLE_XETR_EUR;IWLE;XETR;EUR
IWDP_MTA_EUR;IWDP;MTA;EUR
ISF_MTA_EUR;ISF;MTA;EUR
IS3N_XETR_EUR;IS3N;XETR;EUR
IS0Z_XETR_EUR;IS0Z;XETR;EUR
IQQJ_XETR_EUR;IQQJ;XETR;EUR
IBC6_XETR_EUR;IBC6;XETR;EUR
GOOGL_NASDAQ_USD;GOOGL;NASDAQ;USD
EUE_MTA_EUR;EUE;MTA;EUR
ENI_MTA_EUR;ENI;MTA;EUR
BAYN_XETR_EUR;BAYN;XETR;EUR
AZM_MTA_EUR;AZM;MTA;EUR
AMZN_NASDAQ_USD;AMZN;NASDAQ;USD
AAPL_NASDAQ_USD;AAPL;NASDAQ;USD
